142,Pico Rivera,Los Angeles,"63,157",
143,Montebello,Los Angeles,"62,914",
144,La Habra,Orange,"62,808",
145,National City,San Diego,"62,749",
146,Encinitas,San Diego,"62,289",
147,Petaluma,Sonoma,"61,104",
148,Woodland,Yolo,"60,978",
149,Monterey Park,Los Angeles,"60,380",
150,Gardena,Los Angeles,"60,344",
151,Hanford,Kings,"59,981",
152,La Mesa,San Diego,"59,578",
153,Porterville,Tulare,"59,571",
154,San Rafael,Marin,"59,016",
155,Huntington Park,Los Angeles,"58,937",
156,Cupertino,Santa Clara,"58,656",
157,Arcadia,Los Angeles,"57,660",
158,Santee,San Diego,"56,800",
159,Diamond Bar,Los Angeles,"56,717",
160,Gilroy,Santa Clara,"56,599",
161,Santa Cruz,Santa Cruz,"56,156",
162,Yucaipa,San Bernardino,"55,634",
163,Paramount,Los Angeles,"55,200",
164,Highland,San Bernardino,"55,060",
165,Fountain Valley,Orange,"54,953",
166,Rosemead,Los Angeles,"54,229",
167,Colton,San Bernardino,"54,198",
168,Cathedral City,Riverside,"53,973",
169,West Sacramento,Yolo,"53,967",
170,Palm Desert,Riverside,"53,892",
171,Novato,Marin,"53,486",
172,Beaumont,Riverside,"52,686",
173,Glendora,Los Angeles,"51,540",
174,Watsonville,Santa Cruz,"51,366",
175,San Jacinto,Riverside,"51,269",
176,Placentia,Orange,"51,173",
177,Delano,Kern,"51,070",
178,Cerritos,Los Angeles,"50,048",
179,Aliso Viejo,Orange,"49,813",
180,Lincoln,Placer,"49,624",
181,Azusa,Los Angeles,"49,587",
182,Poway,San Diego,"48,936",
183,Ceres,Stanislaus,"48,901",
184,Newark,Alameda,"48,859",
185,Covina,Los Angeles,"48,833",
186,La Mirada,Los Angeles,"48,631",
187,Cypress,Orange,"48,531",
188,Rancho Santa Margarita,Orange,"48,183",
189,Coachella,Riverside,"47,825",
190,Palm Springs,Riverside,"47,754",
191,Morgan Hill,Santa Clara,"47,374",
192,San Luis Obispo,San Luis Obispo,"46,058",
193,Brea,Orange,"45,137",
194,El Centro,Imperial,"44,997",
195,San Bruno,San Mateo,"44,936",
196,Danville,Contra Costa,"43,906",
197,Oakley,Contra Costa,"42,895",
198,Los Banos,Merced,"42,869",
199,Lompoc,Santa Barbara,"42,493",
200,Rohnert Park,Sonoma,"42,484",
201,Bell Gardens,Los Angeles,"42,233",
202,Rancho Palos Verdes,Los Angeles,"41,541",
203,Campbell,Santa Clara,"41,533",
204,Hollister,San Benito,"41,386",
205,La Quinta,Riverside,"41,247",
206,Calexico,Imperial,"40,485",
207,La Puente,Los Angeles,"40,087",
208,San Gabriel,Los Angeles,"39,945",
209,Culver City,Los Angeles,"39,805",
210,Montclair,San Bernardino,"39,598",
211,Stanton,Orange,"39,573",
212,Monrovia,Los Angeles,"38,479",
213,Pacifica,San Mateo,"37,890",
214,Wildomar,Riverside,"37,013",
215,Martinez,Contra Costa,"36,827",
216,Bell,Los Angeles,"36,319",
217,Temple City,Los Angeles,"36,225",
218,West Hollywood,Los Angeles,"36,125",
219,Moorpark,Ventura,"35,981",
220,San Juan Capistrano,Orange,"35,801",
221,Claremont,Los Angeles,"35,707",
222,Adelanto,San Bernardino,"35,147",
223,Manhattan Beach,Los Angeles,"35,058",
224,Menlo Park,San Mateo,"34,825",
225,Pleasant Hill,Contra Costa,"34,133",
226,San Dimas,Los Angeles,"34,003",
227,Beverly Hills,Los Angeles,"33,399",
228,Dana Point,Orange,"33,189",
229,La Verne,Los Angeles,"33,084",
230,Foster City,San Mateo,"32,842",
231,Lawndale,Los Angeles,"32,710",
232,Goleta,Santa Barbara,"32,339",
233,Banning,Riverside,"32,233",
234,Seaside,Monterey,"32,121",
235,Atwater,Merced,"31,810",
236,Laguna Hills,Orange,"31,073",
237,El Paso de Robles,San Luis Obispo,"31,073",
238,San Pablo,Contra Costa,"31,041",
239,Los Gatos,Santa Clara,"30,836",
240,Santa Paula,Ventura,"30,691",
241,Saratoga,Santa Clara,"30,546",
242,Los Altos,Santa Clara,"30,510",
243,East Palo Alto,San Mateo,"30,350",
244,Desert Hot Springs,Riverside,"30,086",
245,Twentynine Palms,San Bernardino,"29,967",
246,Walnut,Los Angeles,"29,835",
247,San Carlos,San Mateo,"29,814",
248,Burlingame,San Mateo,"29,746",
249,Atascadero,San Luis Obispo,"29,623",
250,Ridgecrest,Kern,"29,591",
251,Suisun City,Solano,"28,882",
252,Lathrop,San Joaquin,"28,503",
253,Monterey,Monterey,"28,382",
254,Windsor,Sonoma,"27,855",
255,Imperial Beach,San Diego,"27,774",
256,Maywood,Los Angeles,"27,670",
257,Sanger,Fresno,"27,353",
258,Brawley,Imperial,"27,326",
259,Benicia,Solano,"27,111",
260,Wasco,Kern,"26,815",
261,Lemoore,Kings,"26,809",
262,Dinuba,Tulare,"26,517",
263,Belmont,San Mateo,"26,470",
264,Lemon Grove,San Diego,"26,345",
265,Galt,Sacramento,"26,116",
266,Eureka,Humboldt,"26,113",
267,Norco,Riverside,"26,107",
268,Reedley,Fresno,"26,087",
269,Hercules,Contra Costa,"25,864",
270,South Pasadena,Los Angeles,"25,668",
271,Lafayette,Contra Costa,"25,358",
272,Riverbank,Stanislaus,"25,189",
273,Loma Linda,San Bernardino,"24,895",
274,El Cerrito,Contra Costa,"24,846",
275,San Fernando,Los Angeles,"24,754",
276,Selma,Fresno,"24,487",
277,Soledad,Monterey,"24,454",
278,Seal Beach,Orange,"24,443",
279,Calabasas,Los Angeles,"24,341",
280,Barstow,San Bernardino,"24,205",
281,Cudahy,Los Angeles,"23,750",
282,South Lake Tahoe,El Dorado,"23,398",
283,Port Hueneme,Ventura,"23,374",
284,Patterson,Stanislaus,"23,304",
285,Oakdale,Stanislaus,"23,237",
286,Millbrae,San Mateo,"22,509",
287,Laguna Beach,Orange,"22,495",
288,Coronado,San Diego,"22,357",
289,Yucca Valley,San Bernardino,"22,330",
290,Arvin,Kern,"22,014",
291,Marina,Monterey,"21,920",
292,Duarte,Los Angeles,"21,457",
293,South El Monte,Los Angeles,"21,296",
294,American Canyon,Napa,"20,802",
295,Corcoran,Kings,"20,476",
296,Agoura Hills,Los Angeles,"20,457",
297,Shafter,Kern,"20,448",
298,Lomita,Los Angeles,"20,431",
299,Imperial,Imperial,"20,289",
300,Dixon,Solano,"20,197",
301,La Canada Flintridge,Los Angeles,"20,194",
302,Hermosa Beach,Los Angeles,"19,451",
303,Pinole,Contra Costa,"19,369",
304,Orinda,Contra Costa,"19,078",
305,Rancho Mirage,Riverside,"18,799",
306,Blythe,Riverside,"18,556",
307,Greenfield,Monterey,"18,402",
308,Santa Fe Springs,Los Angeles,"18,129",
309,Oroville,Butte,"17,863",
310,Arroyo Grande,San Luis Obispo,"17,555",
311,Chowchilla,Madera,"17,330",
312,Albany,Alameda,"17,055",
313,Arcata,Humboldt,"16,909",
314,Moraga,Contra Costa,"16,820",
315,Coalinga,Fresno,"16,748",
316,El Segundo,Los Angeles,"16,660",
317,Artesia,Los Angeles,"16,484",
318,Ripon,San Joaquin,"16,292",
319,Truckee,Nevada,"16,213",
320,Kerman,Fresno,"16,118",
321,Laguna Woods,Orange,"16,036",
322,Parlier,Fresno,"15,828",
323,Fillmore,Ventura,"15,807",
324,Pacific Grove,Monterey,"15,536",
325,Ukiah,Mendocino,"15,526",
326,Livingston,Merced,"15,448",
327,La Palma,Orange,"15,442",
328,King City,Monterey,"14,977",
329,Mill Valley,Marin,"14,550",
330,Hawaiian Gardens,Los Angeles,"14,467",
331,Auburn,Placer,"14,433",
332,Red Bluff,Tehama,"14,272",
333,California City,Kern,"14,120",
334,McFarland,Kern,"14,044",
335,Clearlake,Lake,"13,993",
336,Solana Beach,San Diego,"13,827",
337,Palos Verdes Estates,Los Angeles,"13,286",
338,Carpinteria,Santa Barbara,"13,196",
339,Grover Beach,San Luis Obispo,"13,128",
340,Lindsay,Tulare,"13,090",
341,Kingsburg,Fresno,"13,084",
342,San Marino,Los Angeles,"12,961",
343,Commerce,Los Angeles,"12,792",
344,Grass Valley,Nevada,"12,758",
345,Susanville,Lassen,"12,729",
346,San Anselmo,Marin,"12,689",
347,Emeryville,Alameda,"12,586",
348,Mendota,Fresno,"12,448",
349,Grand Terrace,San Bernardino,"12,399",
350,Avenal,Kings,"12,354",
351,Half Moon Bay,San Mateo,"12,309",
352,Marysville,Yuba,"12,201",
353,Larkspur,Marin,"12,194",
354,Tehachapi,Kern,"12,008",
355,Newman,Stanislaus,"11,962",
356,Fortuna,Humboldt,"11,926",
357,Healdsburg,Sonoma,"11,800",
358,Scotts Valley,Santa Cruz,"11,755",
359,Signal Hill,Los Angeles,"11,617",
360,Los Alamitos,Orange,"11,538",
361,Malibu,Los Angeles,"11,537",
362,Hillsborough,San Mateo,"11,391",
363,Farmersville,Tulare,"11,327",
364,Piedmont,Alameda,"11,296",
365,Clayton,Contra Costa,"11,268",
366,Canyon Lake,Riverside,"11,025",
367,Exeter,Tulare,"10,997",
368,Sonoma,Sonoma,"10,924",
369,Placerville,El Dorado,"10,888",
370,Anderson,Shasta,"10,702",
371,Shasta Lake,Shasta,"10,657",
372,Sierra Madre,Los Angeles,"10,655",
373,Calimesa,Riverside,"10,236",
374,Morro Bay,San Luis Obispo,"10,121",
375,Capitola,Santa Cruz,"10,091",
376,Rio Vista,Solano,"10,080",
377,Corte Madera,Marin,"10,029",
378,Orange Cove,Fresno,"9,581",
379,Tiburon,Marin,"9,456",
380,Live Oak,Sutter,"9,367",
381,Cloverdale,Sonoma,"9,133",
382,Waterford,Stanislaus,"8,944",
383,Orland,Glenn,"8,527",
384,Gonzales,Monterey,"8,490",
385,Los Altos Hills,Santa Clara,"8,390",
386,Guadalupe,Santa Barbara,"8,346",
387,Westlake Village,Los Angeles,"8,180",
388,Firebaugh,Fresno,"8,126",
389,Pismo Beach,San Luis Obispo,"8,108",
390,Rolling Hills Estates,Los Angeles,"8,098",
391,Woodlake,Tulare,"8,054",
392,Mammoth Lakes,Mono,"7,827",
393,Yreka,Siskiyou,"7,746",
394,Ione,Amador,"7,712",
395,Corning,Tehama,"7,664",
